trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_dropoff_window,end_pickup_dropoff_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
t_541173_b_27473_tn_8,12:11:19,12:11:19,2506387,5,,0,0,1392.13918347522,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_8,12:15:00,12:15:00,2506400,6,,0,0,1882.22968217048,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_8,12:17:39,12:17:39,2506398,7,,0,0,2501.91399835375,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_8,12:20:00,12:20:00,2506399,8,,0,0,3046.73929464,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_9,12:49:00,12:49:00,2506397,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_9,12:51:03,12:51:03,2506396,2,,0,0,279.928262414733,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_9,12:52:06,12:52:06,2506395,3,,0,0,420.7899799224,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_9,12:55:00,12:55:00,2506392,4,,0,0,813.485187187039,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_9,12:59:19,12:59:19,2506387,5,,0,0,1392.13918347522,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_9,13:03:00,13:03:00,2506400,6,,0,0,1882.22968217048,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_9,13:05:39,13:05:39,2506398,7,,0,0,2501.91399835375,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_9,13:08:00,13:08:00,2506399,8,,0,0,3046.73929464,0,,,,,1,1,,,,,,,,,,,
t_541174_b_27473_tn_1,06:01:00,06:01:00,2506390,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_541174_b_27473_tn_1,06:03:48,06:03:48,2506388,2,,0,0,544.100638987578,0,,,,,1,1,,,,,,,,,,,
t_541174_b_27473_tn_1,06:07:00,06:07:00,2506393,3,,0,0,1162.98454362915,0,,,,,1,1,,,,,,,,,,,
