route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,scheduled_trip_id
RED,74,3238816_18359,"GLENMONT",0,,5,3238816
RED,74,3239207_18359,"GLENMONT",0,,5,3239207
RED,74,3238837_18359,"GLENMONT",0,,5,3238837
RED,74,3238861_18359,"GLENMONT",0,,5,3238861
RED,74,3238882_18359,"GLENMONT",0,,5,3238882
RED,74,3238894_18359,"GLENMONT",0,,5,3238894
RED,74,3239211_18359,"GLENMONT",0,,5,3239211
RED,74,3238907_18359,"GLENMONT",0,,5,3238907
RED,74,3238924_18359,"GLENMONT",0,,5,3238924
RED,74,3239202_18359,"GLENMONT",0,,5,3239202
RED,74,3238946_18359,"GLENMONT",0,,5,3238946
RED,74,3238937_18359,"GLENMONT",0,,5,3238937
RED,74,3239165_18359,"GLENMONT",0,,5,3239165
RED,74,3238961_18359,"GLENMONT",0,,5,3238961
RED,74,3238976_18359,"GLENMONT",0,,5,3238976
RED,74,3239214_18359,"GLENMONT",0,,5,3239214
RED,74,3238992_18359,"GLENMONT",0,,5,3238992
RED,74,3239003_18359,"GLENMONT",0,,5,3239003
RED,74,3238918_18359,"GLENMONT",0,,5,3238918
RED,74,3239028_18359,"GLENMONT",0,,5,3239028
RED,74,3239039_18359,"GLENMONT",0,,5,3239039
RED,74,3239027_18359,"GLENMONT",0,,5,3239027
RED,74,3239192_18359,"GLENMONT",0,,5,3239192
RED,74,3239065_18359,"GLENMONT",0,,5,3239065
RED,74,3239074_18359,"GLENMONT",0,,5,3239074
RED,74,3239170_18359,"GLENMONT",0,,5,3239170
RED,74,3239096_18359,"GLENMONT",0,,5,3239096
RED,74,3238806_18359,"GLENMONT",0,,5,3238806
RED,74,3239196_18359,"GLENMONT",0,,5,3239196
RED,74,3238807_18359,"GLENMONT",0,,5,3238807
RED,74,3238810_18359,"GLENMONT",0,,5,3238810
RED,74,3239198_18359,"GLENMONT",0,,5,3239198
RED,74,3238811_18359,"GLENMONT",0,,5,3238811
RED,74,3238808_18359,"GLENMONT",0,,5,3238808
RED,74,3239178_18359,"GLENMONT",0,,5,3239178
RED,74,3238809_18359,"GLENMONT",0,,5,3238809
RED,74,3238812_18359,"GLENMONT",0,,5,3238812
RED,74,3238820_18359,"GLENMONT",0,,5,3238820
RED,74,3239208_18359,"GLENMONT",0,,5,3239208
RED,74,3239183_18359,"GLENMONT",0,,5,3239183
RED,74,3238838_18359,"GLENMONT",0,,5,3238838
RED,74,3238860_18359,"GLENMONT",0,,5,3238860
RED,74,3238883_18359,"GLENMONT",0,,5,3238883
RED,74,3238896_18359,"GLENMONT",0,,5,3238896
RED,74,3239212_18359,"GLENMONT",0,,5,3239212
RED,74,3238905_18359,"GLENMONT",0,,5,3238905
RED,74,3238921_18359,"GLENMONT",0,,5,3238921
RED,74,3239204_18359,"GLENMONT",0,,5,3239204
