stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
962,20962,CHALMERS RD & NEW HAMPSHIRE AVE,,39.029496,-76.984178,,,,,,2
964,20964,CHAPMAN AVE & THOMPSON AVE,,39.060715,-77.120506,,,,,,2
972,20972,CHENNAULT WAY & RICKENBACKER DR,,39.172922,-77.156952,,,,,,2
991,20991,CHRISTOPHER AVE & RUSSELL AVE,,39.158042,-77.212892,,,,,,2
992,20992,CHRISTOPHER AVE & GALLOP HILL RD,,39.159231,-77.21049,,,,,,2
994,20994,CHRISTOPHER AVE & FEATHERTREE WAY,,39.159386,-77.206227,,,,,,2
996,20996,CHRISTOPHER AVE & MONTGOMERY VILLAGE AVE,,39.158551,-77.204877,,,,,,2
998,20998,CHRISTOPHER AVE & MONTGOMERY VILLAGE AVE,,39.158592,-77.204633,,,,,,2
1000,21000,CHRISTOPHER AVE & HELLINGLY PL,,39.159641,-77.20623,,,,,,2
1001,21001,CHRISTOPHER AVE & RUSSELL AVE,,39.15805,-77.213218,,,,,,2
1002,21002,CHRISTOPHER AVE & VILLAGE OVERLOOK,,39.159438,-77.210524,,,,,,2
1018,21018,CLOPPER RD & GREAT SENECA HWY,,39.158708,-77.274792,,,,,,2
1020,21020,CLOPPER RD & TIMKO LN,,39.15794,-77.272636,,,,,,2
1022,21022,CLOPPER RD & METZ DR,,39.157695,-77.270988,,,,,,2
